Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,source_name,GEO_Accession (exp),Tissue,disease_state,Cell_type,Cell_Line,gender,AGE,SAMPLE_TYPE,sex,tissue_type,cohort,Treatment,Library Name,Biomaterial_provider,N,T,Group,Genotype,Replicate,etype,gtype,m,mtypehe,BioSampleModel,Isolate,gestational_age,instrument_model (run),karyotype,Passage,cancer_type,hepatic_zone,isolation,clustered_group,dmfd_class,tissues,Subject_ID,lineage,mother/newborn,sgRNA,Individual,library_prep_kit,Sample_Name,Developmental_Stage,disease,molecule_subtype,obese_status,body_type,Participant,subject_status,training_status,method,age_at_skin_biopsy,disease_status,disease_subtype,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),genotype/variation,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,Time_point,tumorgenecity,Alias,Broker_name,ENA_checklist,organism,progenitor_cell_type,nact,recist,Storage_time,tissue_subtype,Condition,gestational_stage,Passages,BIOMATERIAL_TYPE,collection_method,donor_age,DONOR_ETHNICITY,DONOR_HEALTH_STATUS,donor_id,donor_sex,EXPERIMENT_TYPE (exp),EXTRACTION_PROTOCOL (exp),Molecule,sample_term_id,TISSUE_DEPOT,ipsc_clone_number,transduced_with,disease_stage,health_state,reprogramming_stage,5-azacytidine_status,facs_isolation_characteristic,gestation,Lane,protocol,rounds_of_in_vivo_selection,run,sample_input,cell_types,develpment_stage,digestion,medium,surface_antigen_enrichment,tissue_location,twin_pair,cell_status,Strain,transfected_with,infection_state,Experiment,PASSAGE_IF_EXPANDED,Stage,status,common_name,ENA-FIRST-PUBLIC,ENA_last_update,experiment_type,External_Id,FLT3-ITD_Status
SRR2075542,Bisulfite-Seq,100,2494447000,PRJNA287801,SAMN03787370,1807357158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070571,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717949,SRP059790,Normal brain tissue,GSM1717949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain tissue,,,,,,,,,,,,,,,,,,,,
SRR2075546,Bisulfite-Seq,76,1800321820,PRJNA287801,SAMN03787374,1085371687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070575,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717953,SRP059790,GBM stem cells,GSM1717953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM stem cells,,,,,,,,,,,,,,,,,,,,
SRR2075547,Bisulfite-Seq,76,1964722132,PRJNA287801,SAMN03787375,1268959003,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070576,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717954,SRP059790,GBM stem cells,GSM1717954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM stem cells,,,,,,,,,,,,,,,,,,,,
SRR2075549,Bisulfite-Seq,76,2368891500,PRJNA287801,SAMN03787377,1815335668,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070578,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717956,SRP059790,GBM xenograft tumor tissue,GSM1717956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM xenograft tumor tissue,,,,,,,,,,,,,,,,,,,,
SRR2075550,Bisulfite-Seq,100,7232767500,PRJNA287801,SAMN03787378,4919184640,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070579,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717957,SRP059790,GBM xenograft tumor tissue,GSM1717957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM xenograft tumor tissue,,,,,,,,,,,,,,,,,,,,
SRR2075551,Bisulfite-Seq,100,8780800600,PRJNA287801,SAMN03787379,6053522471,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070580,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-06-25T00:00:00Z,GSM1717958,SRP059790,GBM xenograft tumor tissue,GSM1717958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM xenograft tumor tissue,,,,,,,,,,,,,,,,,,,,
SRR1777115,Bisulfite-Seq,202,1796415694,PRJNA273802,SAMN03298486,1242722825,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856859,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593795,SRP052901,human adult cancer cell,GSM1593795,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777117,Bisulfite-Seq,202,2137860334,PRJNA273802,SAMN03298461,1491670523,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856861,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593797,SRP052901,human adult cancer cell,GSM1593797,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777119,Bisulfite-Seq,202,1456365864,PRJNA273802,SAMN03298471,982104167,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856863,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593799,SRP052901,human adult cancer cell,GSM1593799,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777121,Bisulfite-Seq,202,1640812064,PRJNA273802,SAMN03298473,1128719887,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856865,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593801,SRP052901,human adult cancer cell,GSM1593801,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777123,Bisulfite-Seq,202,1539181016,PRJNA273802,SAMN03298453,1049751978,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856867,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593803,SRP052901,human adult cancer cell,GSM1593803,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777125,Bisulfite-Seq,202,1508519436,PRJNA273802,SAMN03298510,1044471004,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856869,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593805,SRP052901,human adult cancer cell,GSM1593805,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
