Run,Assay Type,BioSample,Center Name,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,AvgSpotLen,Bases,DATASTORE provider,DATASTORE region,BioProject,GEO_Accession (exp),source_name,Tissue,sex,AGE,Library Name,Cell_type,Biomaterial_provider,BioSampleModel,Cell_Line,Diagnosis,disease_state,brain_region,disease,SAMPLE_TYPE,gender,BMI,donor_age,donor_sex,RACE,siRNA
SRR1773101,Bisulfite-Seq,SAMN03295139,GEO,SRX853108,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-11-07T00:00:00Z,SRS827278,GSM1592463,SRP052842,200,33617614400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA273669,GSM1592463,Whole genome bisulfite sequencing,,,,,purified AT2 cells,,,,,,,,,,,,,,
SRR1773102,Bisulfite-Seq,SAMN03295142,GEO,SRX853109,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-11-07T00:00:00Z,SRS827279,GSM1592464,SRP052842,75,14173275300,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA273669,GSM1592464,Whole genome bisulfite sequencing,,,,,purified AT2 cells,,,,,,,,,,,,,,
SRR1773103,Bisulfite-Seq,SAMN03295143,GEO,SRX853110,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-11-07T00:00:00Z,SRS827280,GSM1592465,SRP052842,150,28160225250,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA273669,GSM1592465,Whole genome bisulfite sequencing,,,,,purified AT2 cells,,,,,,,,,,,,,,
SRR2013773,Bisulfite-Seq,SAMN03612077,GEO,SRX1021578,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931248,GSM1677804,SRP050499,200,10378119200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677804,Heart,,,,,,,,,,,,,,male,,,,,
SRR2013778,Bisulfite-Seq,SAMN03612082,GEO,SRX1021583,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931244,GSM1677809,SRP050499,200,44597168000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677809,Primordial Germ Cells,,,,,,,,,,,,,,male,,,,,
SRR2013784,Bisulfite-Seq,SAMN03612088,GEO,SRX1021589,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931237,GSM1677815,SRP050499,200,34781040200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677815,Primordial Germ Cells,,,,,,,,,,,,,,male,,,,,
SRR2013785,Bisulfite-Seq,SAMN03612089,GEO,SRX1021590,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931236,GSM1677816,SRP050499,300,17962811700,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677816,Primordial Germ Cells,,,,,,,,,,,,,,male,,,,,
SRR2013787,Bisulfite-Seq,SAMN03612091,GEO,SRX1021592,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931234,GSM1677818,SRP050499,300,45231087000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677818,Primordial Germ Cells,,,,,,,,,,,,,,male,,,,,
SRR2013789,Bisulfite-Seq,SAMN03612093,GEO,SRX1021594,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931232,GSM1677820,SRP050499,200,9966658600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677820,Gonadal Somatic Cells,,,,,,,,,,,,,,male,,,,,
SRR2013793,Bisulfite-Seq,SAMN03611940,GEO,SRX1021601,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931224,GSM1677827,SRP050499,300,4096691700,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677827,Gonadal Somatic Cells,,,,,,,,,,,,,,male,,,,,
