	gse
0.0	GSE102031
1.0	GSE102031
2.0	GSE102031
3.0	GSE102031
4.0	GSE102031
5.0	GSE102031
6.0	GSE102031
7.0	GSE102031
8.0	GSE102031
9.0	GSE102031
10.0	GSE102031
11.0	GSE102031
12.0	GSE102031
13.0	GSE102031
14.0	GSE102031
15.0	GSE102031
16.0	GSE113687
17.0	GSE113687
18.0	GSE113687
19.0	GSE113687
20.0	GSE113687
21.0	GSE113687
22.0	GSE113687
23.0	GSE113687
24.0	GSE113687
25.0	GSE113687
26.0	GSE113687
27.0	GSE113687
28.0	GSE113687
29.0	GSE113687
30.0	GSE113687
31.0	GSE113687
32.0	GSE113687
33.0	GSE113687
34.0	GSE113687
35.0	GSE113687
36.0	GSE119260
37.0	GSE119260
38.0	GSE119260
39.0	GSE119260
40.0	GSE119260
41.0	GSE119260
42.0	GSE119260
43.0	GSE119260
44.0	GSE119260
45.0	GSE119260
46.0	GSE119260
47.0	GSE119260
48.0	GSE119260
49.0	GSE119260
50.0	GSE119260
51.0	GSE119260
52.0	GSE119778
53.0	GSE119778
54.0	GSE119778
55.0	GSE119778
56.0	GSE119778
57.0	GSE119778
58.0	GSE119778
59.0	GSE119778
60.0	GSE119778
61.0	GSE119778
62.0	GSE119778
63.0	GSE119778
64.0	GSE119778
65.0	GSE119778
66.0	GSE119778
67.0	GSE119778
68.0	GSE119778
69.0	GSE119778
70.0	GSE119778
71.0	GSE119778
72.0	GSE119778
73.0	GSE119778
74.0	GSE119778
75.0	GSE119778
76.0	GSE119778
77.0	GSE119778
78.0	GSE119778
79.0	GSE119778
80.0	GSE119778
81.0	GSE119778
82.0	GSE119778
83.0	GSE119778
84.0	GSE119778
85.0	GSE119778
86.0	GSE119778
87.0	GSE119778
88.0	GSE119778
89.0	GSE119778
90.0	GSE119778
91.0	GSE119778
92.0	GSE119778
93.0	GSE119778
94.0	GSE119778
95.0	GSE119778
96.0	GSE119778
97.0	GSE119778
98.0	GSE119778
99.0	GSE119778
100.0	GSE119778
101.0	GSE119778
102.0	GSE119778
