Sample,File,FileSeries
GSM2829678,GSM2829678_6007211019_R04C01,GSE106099
GSM2829687,GSM2829687_6007211020_R05C01,GSE106099
GSM2829694,GSM2829694_6057841055_R03C01,GSE106099
GSM2829688,GSM2829688_6007211020_R06C01,GSE106099
GSM2829680,GSM2829680_6007211019_R06C01,GSE106099
GSM2829684,GSM2829684_6007211020_R02C01,GSE106099
GSM2829683,GSM2829683_6007211020_R01C01,GSE106099
GSM2829679,GSM2829679_6007211019_R05C01,GSE106099
GSM2829686,GSM2829686_6007211020_R04C01,GSE106099
GSM2829681,GSM2829681_6007211019_R01C02,GSE106099
GSM2829693,GSM2829693_6057841055_R02C01,GSE106099
GSM2829695,GSM2829695_6057841055_R04C01,GSE106099
GSM2829696,GSM2829696_6057841055_R06C01,GSE106099
GSM2829685,GSM2829685_6007211020_R03C01,GSE106099
GSM2829677,GSM2829677_6007211019_R03C01,GSE106099
GSM2829697,GSM2829697_6007211019_R02C01,GSE106099
GSM2829682,GSM2829682_6007211019_R02C02,GSE106099
GSM3336767,GSM3336767_3999840096_R06C01,GSE118696
GSM3336759,GSM3336759_3999840113_R04C02,GSE118696
GSM3336768,GSM3336768_3999840096_R01C02,GSE118696
GSM3336751,GSM3336751_3999840113_R02C01,GSE118696
GSM3189727,GSM3189727_200078650095_R05C01,GSE115783
GSM3189717,GSM3189717_200078650095_R01C01,GSE115783
GSM3189725,GSM3189725_200078650095_R03C01,GSE115783
GSM3189716,GSM3189716_200107460110_R06C02,GSE115783
GSM3189721,GSM3189721_200078650095_R02C01,GSE115783
GSM3189726,GSM3189726_200078650095_R04C01,GSE115783
GSM3640147,GSM3640147_3999875015_R05C01,GSE127857
GSM3640146,GSM3640146_200123530157_R06C02,GSE127857
GSM3640152,GSM3640152_3998998182_R04C02,GSE127857
GSM3640153,GSM3640153_3998998173_R01C02,GSE127857
GSM3640145,GSM3640145_3999876001_R05C01,GSE127857
GSM3640155,GSM3640155_3998998173_R05C02,GSE127857
GSM3640156,GSM3640156_3998998239_R01C02,GSE127857
GSM3640157,GSM3640157_3998998183_R06C01,GSE127857
GSM3640148,GSM3640148_3999875097_R06C01,GSE127857
GSM3640149,GSM3640149_3999875006_R03C02,GSE127857
GSM3640150,GSM3640150_3999875015_R04C01,GSE127857
GSM3640151,GSM3640151_3999875082_R05C01,GSE127857
GSM3640154,GSM3640154_3998998146_R05C02,GSE127857
GSM7881182,GSM7881182_9611519099_R02C01,GSE246935
GSM7881170,GSM7881170_9611518083_R02C01,GSE246935
GSM7881178,GSM7881178_9611519066_R02C01,GSE246935
GSM7881174,GSM7881174_9611518122_R02C01,GSE246935
GSM5025787,GSM5025787_7507867051_R01C02,GSE165081
GSM5025790,GSM5025790_9379082059_R03C02,GSE165081
GSM5025798,GSM5025798_7507867098_R04C02,GSE165081
GSM5025801,GSM5025801_7507867098_R06C02,GSE165081
GSM5025793,GSM5025793_7507867139_R06C02,GSE165081
GSM5025804,GSM5025804_7507867139_R04C02,GSE165081
GSM5025796,GSM5025796_7507867137_R02C02,GSE165081
GSM5025791,GSM5025791_7507867051_R02C02,GSE165081
GSM5025800,GSM5025800_7507867137_R06C02,GSE165081
GSM5025799,GSM5025799_7507867098_R05C02,GSE165081
GSM5025785,GSM5025785_7507867137_R06C01,GSE165081
GSM5025797,GSM5025797_7507867137_R03C02,GSE165081
GSM5025794,GSM5025794_7507867051_R03C02,GSE165081
GSM5025789,GSM5025789_9379082059_R02C02,GSE165081
GSM2814620,GSM2814620_10006044078_R05C01,GSE105018
GSM2814417,GSM2814417_9969489014_R06C02,GSE105018
GSM2814703,GSM2814703_200049730093_R06C01,GSE105018
GSM2814477,GSM2814477_9980092032_R06C01,GSE105018
GSM2814832,GSM2814832_200091640098_R01C02,GSE105018
GSM2814517,GSM2814517_9980102043_R04C02,GSE105018
GSM2814314,GSM2814314_9878827087_R02C02,GSE105018
GSM2814689,GSM2814689_200049730039_R04C01,GSE105018
