bronchoalveolar lavage fluid,vastus lateralis,monocyte,pancreas,skin,peripheral blood mononuclear cell,adrenal gland,saliva,buccal mucosa,colon,naive T-lymphocyte,peripheral blood,skin fibroblast,umbilical cord blood,liver,thyroid gland,colorectum,blood,memory T-lymphocyte
['ESR1'],[],[],['RP11-529A4.12'],['ARMC9'],['MEIS1'],['MEIS1'],[],['DOHH'],['HCK'],[],['IPO9'],[],['CREB3L1'],['VTI1A'],[],[],[],"['TRBC2', 'TRBV25-1', 'TRBV28']"
[],['AP000688.14'],['ACTB'],['NEAT1'],['TNXB'],['IPO9'],['MT1A'],[],['PLCG2'],[],['STC1'],['TEP1'],['GPA33'],['NFIA'],[],[],['CDH18'],[],[]
['VPS13C'],['SOS2'],['SOD3'],['PHTF2'],[],['INPP4A'],['RP11-13A1.3'],"['FBXL15', 'PSD']",[],['PTPRS'],"['GNAI3', 'GNAT2']",[],['PFKP'],['DOC2A'],[],['KCNB1'],[],['KRT8P24'],['ERLIN1']
['SRBD1'],"['PSMG4', 'SLC22A23']",['CMIP'],['AC009784.3'],['RNF217-AS1'],['SEMA3B'],['RBP7'],['MANSC1'],['ENPP2'],"['AADACL2-AS1', 'SUCNR1']","['CDK2', 'PMEL', 'RP11-973D8.4']",['SDR39U1'],"['CRIP3', 'SLC22A7']",['IPO9'],"['LAD1', 'TNNT2']",['SLC39A10'],['FAM91A1'],['FLJ31356'],['DGCR8']
['AGPAT1'],['AGAP1'],['ZBTB48'],['TMEM18'],[],['CREB3L1'],['KCTD7'],[],['TNXB'],['SH3PXD2B'],['RIIAD1'],['BCAR3'],['SLC35F4'],['INTS6'],['MGAT4C'],['MYLK'],['BAIAP2'],[],[]
"['CITF22-24E5.1', 'PVALB']",['GRM4'],[],['SCAMP4'],[],['MYOZ3'],['MTRR'],[],"['RFKP1', 'RGS7']",['RP11-106M7.1'],['SPG7'],"['SBF2', 'SBF2-AS1']",[],['LMO1'],['CCDC124'],[],['OSBPL5'],['ZNF287'],['CTH']
['NLRP11'],[],"['SBF2', 'SBF2-AS1']","['DPH5', 'RP11-421L21.3']",['PISD'],[],[],['WDR91'],['STRCP1'],[],['DGCR8'],[],['ERCC1'],[],[],['GRIN2A'],[],['LRPAP1'],['RAD21L1']
['RP11-583F2.7'],['SLC28A1'],['HCAR1'],['RP11-106M7.1'],['RP11-72M17.1'],['BCAR3'],['KIF14'],['SEMA6D'],[],['CREB3L1'],[],['MGMT'],['CADPS2'],['CALCOCO2'],"['SBF2', 'SBF2-AS1']",[],['RCC2'],['GRM4'],"['SBF2', 'SBF2-AS1']"
['TRABD'],['SHC2'],['MAPRE2'],['INTS6'],"['PARP4', 'TPTE2P6']",['HIF1AN'],['MICALL2'],['KRT8P24'],[],['ETFA'],['DOC2A'],['NBEAL2'],['MCM6'],['TSNARE1'],"['DPH5', 'RP11-421L21.3']",['WWC2'],[],['MAP3K9'],['ZNF638']
[],['SLC35F4'],[],[],[],"['SBF2', 'SBF2-AS1']","['C22orf23', 'MIR4534', 'POLR2F']",['SLU7'],['MLC1'],['IMPAD1'],['AC009784.3'],['CSF1'],[],['KIF14'],"['PCNXL3', 'SIPA1']",['TP73'],['MGAT4C'],['VWA2'],['AGPAT1']
['RET'],['AC005487.2'],['TNXB'],"['DEAF1', 'EPS8L2', 'TMEM80']",[],['NBPF9'],['CMIP'],"['AC007389.3', 'AC074391.1']","['FBXL16', 'MSLN']",['IL4R'],[],['INPP4A'],[],[],['CDC42EP3'],['DIP2C'],[],['MAP4'],[]
[],['FLJ31356'],"['FBXL16', 'MSLN']",['KCNQ1'],['RP4-790G17.7'],['CSF1'],[],[],[],['NBEAL2'],['C20orf166'],['KCTD7'],[],['LRPAP1'],['AP2A2'],['CBLB'],"['IGHG1', 'IGHG3', 'IGHM']",['MGAT4C'],[]
[],[],['PATL2'],['RP1-234P15.4'],['RP11-703H8.9'],['FENDRR'],[],"['DAB1', 'OMA1']",[],['PDILT'],['DOHH'],['TBL3'],['OSBPL5'],[],['MAEL'],['OSBP2'],['STC1'],[],[]
[],['C16orf74'],['MGMT'],['C6orf89'],['QSER1'],['SPSB4'],['MGAT4C'],"['PCNXL3', 'SIPA1']","['DPH5', 'RP11-421L21.3']",['AC090505.6'],[],[],[],[],[],['SCNN1B'],['NFIA'],['CTD-2140G10.2'],['AP000282.2']
[],[],['ADD2'],['RP4-561L24.3'],['PFKP'],['NBEAL2'],"['GAPDHS', 'TMEM147-AS1']",['MAN2B2'],['ABCC4'],['MYOCD'],['NLRX1'],['HS3ST2'],['STC1'],[],['RASSF2'],['MCRS1'],[],['ARMC9'],[]
['ADRA1A'],[],[],['EBF3'],"['CRIP3', 'SLC22A7']","['DPH5', 'RP11-421L21.3']",[],"['LINC01098', 'LINC01099']",['PKNOX2'],[],['GTF2IRD2'],['FENDRR'],"['NXN', 'RP11-676J12.6']",[],[],['DLGAP1'],['LRPAP1'],[],[]
[],['BEST3'],[],['ELMOD3'],['HOXA11'],['MGMT'],['DHX16'],['NGFR'],['BCL11B'],['RP11-187E13.1'],[],['NPPA'],[],"['COBL', 'RP4-724E13.2']",['OSBPL5'],['JARID2'],['KIF14'],['TNXB'],['DOC2A']
[],['NDUFA10'],[],[],[],['C12orf55'],['DOC2A'],['STC1'],"['BDKRB1', 'RP11-404P21.3', 'RP11-404P21.8']",['PPP2R2D'],['FBXO16'],"['IGHG1', 'IGHG3', 'IGHM']",['ACOT13'],"['KCNQ1', 'KCNQ1OT1']",[],['PARP6'],['NRXN1'],"['RP11-455F5.3', 'YPEL3']",[]
[],['STC1'],['CECR6'],"['ITGA5', 'RP11-753H16.3', 'RP11-753H16.5']",['CADPS2'],['RP1-153P14.5'],['GRM4'],['FGF18'],['CASC15'],['ADD2'],['RP4-561L24.3'],['RP11-382A20.4'],[],"['DAGLB', 'KDELR2']","['CITF22-24E5.1', 'PVALB']",[],['ANKS1B'],"['CITF22-24E5.1', 'PVALB']",['SLCO5A1']
['GPR1-AS'],['COLEC11'],[],['HDAC4'],[],['NPPA'],[],['CADPS2'],[],[],[],['B4GALNT1'],[],['RDH13'],['PISD'],['WWC1'],['DPP9'],[],"['C17orf64', 'USP32']"
