Sample,File,FileSeries
GSM2859937,GSM2859937_10003886118_R03C02,GSE107038
GSM2859938,GSM2859938_10003886118_R04C02,GSE107038
GSM2859939,GSM2859939_10003886118_R05C02,GSE107038
GSM2859940,GSM2859940_10003886118_R06C02,GSE107038
GSM2859941,GSM2859941_10003886150_R01C01,GSE107038
GSM2859942,GSM2859942_10003886150_R01C02,GSE107038
GSM2859943,GSM2859943_10003886150_R02C01,GSE107038
GSM2859944,GSM2859944_10003886150_R02C02,GSE107038
GSM2859945,GSM2859945_10003886150_R03C01,GSE107038
GSM2859946,GSM2859946_10003886150_R03C02,GSE107038
GSM2859947,GSM2859947_10003886150_R04C01,GSE107038
GSM2859948,GSM2859948_10003886150_R04C02,GSE107038
GSM2859949,GSM2859949_10003886150_R05C01,GSE107038
GSM2859950,GSM2859950_10003886150_R06C01,GSE107038
GSM2859952,GSM2859952_9247377054_R01C02,GSE107038
GSM2859953,GSM2859953_9247377054_R02C01,GSE107038
GSM2859954,GSM2859954_9247377054_R03C01,GSE107038
GSM2859955,GSM2859955_9247377054_R04C01,GSE107038
GSM2859956,GSM2859956_9247377054_R04C02,GSE107038
GSM2859957,GSM2859957_9247377054_R05C01,GSE107038
GSM2859958,GSM2859958_9247377054_R06C01,GSE107038
GSM2859959,GSM2859959_9247377054_R06C02,GSE107038
GSM2859960,GSM2859960_9247377073_R01C01,GSE107038
GSM2859961,GSM2859961_9247377073_R02C01,GSE107038
GSM2859962,GSM2859962_9247377073_R02C02,GSE107038
GSM2859963,GSM2859963_9247377073_R03C01,GSE107038
GSM2859964,GSM2859964_9247377073_R04C01,GSE107038
GSM2859965,GSM2859965_9247377073_R04C02,GSE107038
GSM2859966,GSM2859966_9247377073_R05C01,GSE107038
GSM2859967,GSM2859967_9247377073_R05C02,GSE107038
GSM2859968,GSM2859968_9247377073_R06C01,GSE107038
GSM2859969,GSM2859969_9247377106_R01C01,GSE107038
GSM2859970,GSM2859970_9247377106_R01C02,GSE107038
GSM2859971,GSM2859971_9247377106_R02C01,GSE107038
GSM2859972,GSM2859972_9247377106_R02C02,GSE107038
GSM2859973,GSM2859973_9247377106_R03C01,GSE107038
GSM2859974,GSM2859974_9247377106_R04C01,GSE107038
GSM2859975,GSM2859975_9247377106_R05C01,GSE107038
GSM2859976,GSM2859976_9247377106_R06C01,GSE107038
GSM1532426,GSM1532426_6929718127_R06C02,GSE62727
GSM1532427,GSM1532427_6929718167_R01C01,GSE62727
GSM1532428,GSM1532428_6929718167_R02C01,GSE62727
GSM1532429,GSM1532429_6929718167_R03C01,GSE62727
GSM2752625,GSM2752625_200078650195_R01C02,GSE103027
GSM2752636,GSM2752636_200078650204_R05C02,GSE103027
GSM2752648,GSM2752648_200078650228_R02C02,GSE103027
GSM2752649,GSM2752649_200078650243_R06C01,GSE103027
GSM2752650,GSM2752650_200078650157_R01C02,GSE103027
GSM2752651,GSM2752651_200078650125_R05C01,GSE103027
GSM4292335,GSM4292335_200078650227_R04C02,GSE103027
GSM4292336,GSM4292336_200078650191_R03C02,GSE103027
GSM4292337,GSM4292337_200078650183_R06C02,GSE103027
GSM4292338,GSM4292338_200078650260_R02C02,GSE103027
GSM4292339,GSM4292339_200078650252_R02C01,GSE103027
GSM4292340,GSM4292340_200078650144_R04C02,GSE103027
GSM4292341,GSM4292341_200078650217_R01C02,GSE103027
GSM4292342,GSM4292342_200078650125_R04C01,GSE103027
GSM4292343,GSM4292343_200078650252_R01C01,GSE103027
GSM4292344,GSM4292344_200078650204_R02C01,GSE103027
GSM4292345,GSM4292345_200078650044_R06C01,GSE103027
GSM4292346,GSM4292346_200078650252_R03C01,GSE103027
GSM4292347,GSM4292347_200078650065_R06C02,GSE103027
GSM4292348,GSM4292348_200078650065_R04C01,GSE103027
GSM4292349,GSM4292349_200078650002_R03C01,GSE103027
GSM4292350,GSM4292350_200078650227_R06C01,GSE103027
GSM4292351,GSM4292351_200078650243_R01C01,GSE103027
GSM4991810,GSM4991810_9305216187_R01C01,GSE163970
GSM4991811,GSM4991811_8454787121_R01C01,GSE163970
GSM4991812,GSM4991812_8454787089_R02C02,GSE163970
GSM4991813,GSM4991813_9305216140_R01C01,GSE163970
GSM4991814,GSM4991814_9007217018_R01C01,GSE163970
GSM4991815,GSM4991815_8454787089_R03C02,GSE163970
GSM4991816,GSM4991816_9007217018_R02C02,GSE163970
GSM4991817,GSM4991817_8655677079_R01C01,GSE163970
GSM4991818,GSM4991818_9305651081_R01C02,GSE163970
GSM4991819,GSM4991819_9305651067_R02C02,GSE163970
GSM4991820,GSM4991820_9007217013_R01C02,GSE163970
GSM4991821,GSM4991821_8667045135_R01C01,GSE163970
GSM4991822,GSM4991822_8655685081_R05C01,GSE163970
GSM4991823,GSM4991823_9305216140_R01C02,GSE163970
GSM4991824,GSM4991824_8667045135_R03C01,GSE163970
GSM4991825,GSM4991825_9007217018_R05C01,GSE163970
GSM4991826,GSM4991826_8655677137_R02C01,GSE163970
GSM4991827,GSM4991827_8454787089_R04C01,GSE163970
GSM4991828,GSM4991828_9305651120_R02C01,GSE163970
GSM4991829,GSM4991829_9305651067_R01C02,GSE163970
GSM4991830,GSM4991830_9007217014_R02C01,GSE163970
GSM4991831,GSM4991831_9343114175_R01C01,GSE163970
GSM4991832,GSM4991832_9007217159_R02C02,GSE163970
GSM4991833,GSM4991833_8454787121_R05C01,GSE163970
GSM4991834,GSM4991834_9305216187_R03C02,GSE163970
GSM4991835,GSM4991835_9305651033_R03C02,GSE163970
GSM4991836,GSM4991836_9007217014_R01C01,GSE163970
GSM4991837,GSM4991837_8655685080_R02C02,GSE163970
GSM4991838,GSM4991838_9305651120_R01C02,GSE163970
GSM4991839,GSM4991839_9305651030_R04C02,GSE163970
GSM4991840,GSM4991840_9305651120_R02C02,GSE163970
GSM4991841,GSM4991841_8655685081_R06C01,GSE163970
GSM4991842,GSM4991842_9305216187_R04C02,GSE163970
GSM4991843,GSM4991843_9305651033_R01C01,GSE163970
GSM4991844,GSM4991844_8667045135_R02C02,GSE163970
GSM4991845,GSM4991845_9007217014_R03C01,GSE163970
GSM4991846,GSM4991846_9007217013_R02C01,GSE163970
GSM4991847,GSM4991847_9305651144_R01C01,GSE163970
GSM4991848,GSM4991848_8655677079_R02C01,GSE163970
GSM4991849,GSM4991849_8655685081_R03C01,GSE163970
GSM4991850,GSM4991850_8667053094_R04C02,GSE163970
GSM4991851,GSM4991851_9007225051_R02C01,GSE163970
GSM4991852,GSM4991852_9020331181_R02C02,GSE163970
GSM4991853,GSM4991853_9305651059_R01C02,GSE163970
GSM4991854,GSM4991854_9020331181_R03C01,GSE163970
GSM4991855,GSM4991855_9305651033_R01C02,GSE163970
GSM4991856,GSM4991856_9007217013_R01C01,GSE163970
GSM4991857,GSM4991857_9007225007_R03C02,GSE163970
GSM4991858,GSM4991858_9305651120_R04C02,GSE163970
GSM4991859,GSM4991859_9007217159_R03C02,GSE163970
GSM4991860,GSM4991860_9305651059_R01C01,GSE163970
GSM4991861,GSM4991861_9305216140_R03C02,GSE163970
GSM4991862,GSM4991862_9305651120_R03C02,GSE163970
GSM4991863,GSM4991863_9305651081_R02C02,GSE163970
GSM4991864,GSM4991864_9007217018_R03C02,GSE163970
GSM4991865,GSM4991865_9343114175_R03C01,GSE163970
GSM4991866,GSM4991866_9305216187_R02C02,GSE163970
GSM4991867,GSM4991867_9305216140_R02C02,GSE163970
GSM4991868,GSM4991868_9007217013_R02C02,GSE163970
GSM4991869,GSM4991869_9305651081_R01C01,GSE163970
GSM4991870,GSM4991870_8454787089_R04C02,GSE163970
GSM4991871,GSM4991871_8667053094_R04C01,GSE163970
GSM4991872,GSM4991872_9305651081_R03C02,GSE163970
GSM4991873,GSM4991873_8655677131_R03C02,GSE163970
GSM4991874,GSM4991874_8655685080_R06C01,GSE163970
GSM4991875,GSM4991875_9007225009_R03C02,GSE163970
GSM4991876,GSM4991876_9007217018_R06C01,GSE163970
GSM4991877,GSM4991877_9007217014_R02C02,GSE163970
GSM4991878,GSM4991878_9305216187_R02C01,GSE163970
GSM4991879,GSM4991879_9007217159_R02C01,GSE163970
GSM4991880,GSM4991880_9305651082_R06C02,GSE163970
GSM4991881,GSM4991881_8667045135_R02C01,GSE163970
GSM4991882,GSM4991882_9007217013_R03C01,GSE163970
GSM4991883,GSM4991883_9305216140_R03C01,GSE163970
GSM4991884,GSM4991884_8963311008_R02C02,GSE163970
GSM4991885,GSM4991885_9305651142_R01C02,GSE163970
GSM4991886,GSM4991886_8655685080_R03C02,GSE163970
GSM4991887,GSM4991887_9305651081_R02C01,GSE163970
GSM4991888,GSM4991888_8359018083_R02C01,GSE163970
GSM4991889,GSM4991889_9007217013_R04C01,GSE163970
GSM4991890,GSM4991890_8655677131_R03C01,GSE163970
GSM4991891,GSM4991891_9007217018_R04C01,GSE163970
GSM4991892,GSM4991892_9305651082_R05C02,GSE163970
GSM4991893,GSM4991893_9305651120_R03C01,GSE163970
GSM4991894,GSM4991894_9305216140_R02C01,GSE163970
GSM4991895,GSM4991895_9305651059_R03C02,GSE163970
